性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题,
2,1,0,3,4,贝克汉姆携女儿小七送新年祝福：我的本命年 兔年大吉！ PP体育的微博视频 ,2023/1/21,152,14,12,,
2,13,0,1,8,新华社评出2022国际十佳运动员：梅西谷爱凌领衔 本泽马在列1、谷爱凌（中国，女，19岁，自由式滑雪）谷爱凌获得北京冬奥会自由式滑雪女子大跳台与U型场地技巧两枚金牌，以及坡面障碍技巧银牌，成为首位在一届冬奥会上拿到三枚奖牌的自由式滑雪运动员。2、利昂内尔·梅西（阿根廷，男，35岁，足球）梅西带领阿根廷队夺得卡塔尔世界杯冠军，打入7球送出3次助攻，荣膺世界杯金球奖。他还以26次出场成为世界杯参赛场次最多的球员。3、伊雷妮·斯豪滕（荷兰，女，30岁，速度滑冰）斯豪滕夺得北京冬奥会速度滑冰女子5000米、3000米和集体出发金牌，还与队友合作获得女子团体追逐铜牌。3月，斯豪滕在国际滑联速度滑冰世锦赛上获得女子全能金牌。4、埃鲁德·基普乔格（肯尼亚，男，38岁，田径）基普乔格在2022年柏林马拉松赛上以2小时01分09秒的成绩夺冠，打破了他本人在2018年柏林马拉松赛上创造的2小时01分39秒的世界纪录。5、阿曼德·杜普兰蒂斯（瑞典，男，23岁，田径）杜普兰蒂斯在2022赛季三次打破男子撑杆跳高世界纪录，赢得了他参加的19场比赛中的18场，并23次越过六米大关。在俄勒冈田径世锦赛上，他以6米21的成绩创造了新的世界纪录。6、卡里姆·本泽马（法国，男，35岁，足球）本泽马获得2022年金球奖。他效力于西甲皇家马德里队，在2021-2022赛季46场比赛中打进44球，同时荣膺欧冠和西甲金靴，并帮助皇马实现国内联赛和欧冠赛场“双冠王”。7、拉斐尔·纳达尔（西班牙，男，36岁，网球）纳达尔在法国网球公开赛中第14次捧杯，由此他成为公开赛时代第一位获得22个大满贯男单冠军的选手。8、凯蒂·莱德茨基（美国，女，25岁，游泳）莱德茨基在布达佩斯游泳世锦赛女子800米自由泳决赛中夺冠，完成了世锦赛该项目五连冠。在这届世锦赛上，莱德茨基斩获4枚金牌，将自己的世锦赛金牌数提高到19枚。莱德茨基还在短池游泳世界杯中刷新了女子1500米自由泳和800米自由泳短池世界纪录。9、伊加·斯维亚特克（波兰，女，21岁，网球）斯维亚特克在2022年获得包括法网、美网在内的八个冠军头衔，还创造了21世纪以来女子网坛最长的连胜纪录（37场）。在女子网球协会（WTA）年终排名中，斯维亚特克位列第一。10、马克斯·维斯塔潘（荷兰，男，25岁，赛车）维斯塔潘在一级方程式赛车（F1）日本大奖赛上夺冠并提前锁定年度车手总冠军。在墨西哥大奖赛上，他夺得本赛季个人第14个冠军，超越了迈克尔·舒马赫和维特尔共同保持的单赛季13冠纪录，成为F1历史上单赛季夺冠次数最多的车手。他最后单赛季夺冠次数为15个。,2022/12/26,448,99,114,,
2,6,0,1,1,��️#印尼500赛冯彦哲黄东萍夺冠##印尼500赛蒋振邦魏雅欣获亚军#   🏸️#2023年印尼羽毛球大师赛# ，@F冯彦哲 @H黄东萍 21-15、16-21、21-19 @蒋振邦JZzzB @曼妥思阿丫丫 。[努力]恭喜冯黄拿下新组合首冠！恭喜冯彦哲拿下职业生涯首个巡回赛冠军！ ,1/29/2023,99,9,1,"印尼500赛冯彦哲黄东萍夺冠,印尼500赛蒋振邦魏雅欣获亚军,2023年印尼羽毛球大师赛",
2,3,0,3,2,#周杰伦昆凌现场观战澳网男单决赛#🎾#澳网2023# 男单决赛正在进行，德约科维奇首盘暂时4-2领先。看台上名流云集，周杰伦、昆凌、比尔盖茨、罗德拉沃尔等都在观战。 ,1/29/2023,54,7,8,"周杰伦昆凌现场观战澳网男单决赛,澳网2023",
2,7,0,1,6,#国乒队员极限二选一#📺《旋转吧！乒乓》第一期来了！🍲火锅or烧烤🔥、☕️咖啡or茶🍵、🎢过山车or碰碰车🚗🏓️乒乓队员们各自喜好如何，一起来揭晓答案吧📅1月29日起每周三周日《旋转吧！乒乓》尽在@咪咕视频 #旋转吧乒乓##看WTT上咪咕# 咪咕体育的微博视频 ,1/29/2023,3226,225,351,"国乒队员极限二选一,旋转吧乒乓,看WTT上咪咕",
2,13,0,1,1,#俄参加亚洲赛事不占用亚洲奥运名额# 亚奥理事会将为受邀参加亚洲赛事的俄罗斯和白俄罗斯运动员制定“特别的奥运资格选拔系统”，以避免占用亚洲选手的名额和奖牌在这一系统下，可以设定量化指标的赛事更容易适用于两国运动员的加入，如田径、游泳和射击等，但对抗性项目如摔跤等很有可能无法适用根据此前报道，中国奥委会愿为包括符合条件的俄罗斯和白俄罗斯运动员在内的所有运动员搭建良好参赛平台，共同捍卫奥林匹克价值观，维护国际奥林匹克大家庭团结,1/29/2023,17,1,4,俄参加亚洲赛事不占用亚洲奥运名额,
2,9,0,1,1,#蔡斌解读女排集训名单# ·丁霞是能够起到压阵作用的老将，许晓婷参加集训是为了进一步考察·主攻位置需要拥有经验和能力的中生代选手充实进来·排超联赛涌现出诸多年轻选手，希望通过国家队冬训，提高基本功和动作规范性，打造女排未来的可用之才新一届中国女排将于2月1日在宁波北仑集结展开冬训，主教练蔡斌表示，希望通过冬训不断夯实基础、提升自身能力，完成好杭州亚运会和巴黎奥运会预选赛等重要比赛任务#中国女排即将开启冬训##2023中国女排集训名单#,1/29/2023,23,3,2,"蔡斌解读女排集训名单,中国女排即将开启冬训,2023中国女排集训名单",
2,6,0,1,1,#国羽混双提前包揽印尼500赛冠亚军#今日13:00起，2023世界羽联超级500印尼大师赛将进行决赛争夺女双：张殊贤@Z_殊贤 /刘圣书@皮-lss vs福岛由纪/广田彩花（日本）女单：安洗莹（韩国）vs马林（西班牙）混双：@F冯彦哲 /@H黄东萍 vs@蒋振邦JZzzB /魏雅欣@曼妥思阿丫丫 男单：乔纳坦（印尼）vs瓦多约（印尼）男双：@何济霆 /@周-昊东 vs卡南多/马丁（印尼）#印尼500赛国羽进三项决赛##2023年印尼羽毛球大师赛#,1/29/2023,27,3,2,"国羽混双提前包揽印尼500赛冠亚军,印尼500赛国羽进三项决赛,2023年印尼羽毛球大师赛",
2,6,0,1,1,好棒！#印尼500赛蒋振邦魏雅欣进决赛#  🏸️#2023年印尼羽毛球大师赛# ，@蒋振邦JZzzB 魏雅欣@曼妥思阿丫丫 21-16、21-16 金子祐树/松友美佐纪。👏🏻恭喜两位小将职业生涯首站世界羽联巡回赛就打进决赛！ ,1/28/2023,72,4,0,"印尼500赛蒋振邦魏雅欣进决赛,2023年印尼羽毛球大师赛",
2,14,0,3,6,大年初七开工日！敲锣打鼓送你们上班啦~#比特数智人好运卡# ,1/28/2023,7,0,0,比特数智人好运卡,
