word,count
World Cup,3678
Video,2727
Microblogging,2601
Lionel Messi,2306
Argentina,1852
Cristiano Ronaldo,1625
Sports,1575
Tournaments,1448
Soccer,1443
Migu,1427
Final,1239
France,1112
Players,1103
Men's Basketball,929
Rebounds,923
Assists,901
Champions,842
Mbappe,837
Fans,817
Clubs,753
Victory,719
2023,700
Morocco,688
Teams,661
We are,656
NBA,648
Croatia,637
Paris,631
China,603
2022,599
League,597
Riyadh,582
Own,528
Victory,500
CBA,500
Breaking,475
Winning the Championship,458
Them,438
Minutes,430
Advancement,428
said,427
goals,422
World,421
Season,418
Qatar,417
Manchester United,413
Tencent,406
Best,403
Manager,399
Pele,397
Final,386
Semi-finals,380
Conducted,372
Join,359
Link,354
Saudi Arabia,354
National Team,354
page,352
A,352
consecutive victories over,351
Real Madrid,351
Time,349
Official,337
Versus,334
Premier League,334
Beijing,327
End,324
No,320
James,310
History,310
Modric,308
Gained,307
France,305
Penalty,303
Manchester City,301
Argentina,297
Training,295
Brazil,295
Hope,288
Australia,280
Media,279
News,275
Rivals,273
Currently,271
Become,269
participate in the,266
Lakers,265
Three-point,265
Basketball,264
Warriors,260
Celebration,260
First,259
Final,254
Report,252
WTT,251
This year,251
Together,244
Announcing,243
Men's Singles,241
Chelsea,238
Continue,237
Accepted,231
Today,231
Playing,229
Football Association,229
Barcelona,227
Basketball,226
Appearance,224
Shanghai,220
Finish,218
Debut,217
Aspect,217
Score,214
Tonight,214
Stats,214
England,214
Announcement,213
Coaches,211
Post-Match,210
Career,209
Year,207
Benzema,204
Big game,204
Full Game,202
Good,199
Live,197
Strong,196
PERFORMANCE,193
Race,192
Today,192
Curry,192
Arsenal,192
Live,192
Home,191
Interviews,189
Ballon d'Or,189
consecutive,188
Won,187
Achievement,187
Beat,186
jersey,185
Expectation,183
Referee,182
Players,182
Goalkeeper,182
Neymar,182
Now,182
List,181
Hercules Cup,180
Ranking,178
Leading,178
Considered,178
Shutout,177
Kovic,176
no chance,176
Start,176
everyone,176
Previously,175
Harland,171
One game,170
Liverpool,167
teammates,165
If,165
Contract,165
Record,164
VS,162
Individual,160
Rashford,159
Men's Volleyball,157
Snooker,157
This match,156
Won't,155
this season,154
Reporter,153
Chinese Super League,153
According to,152
billion,152
Owen,151
Chance,151
Fueling,150
Durant,150
Debut,150
Losing streak,149
Enter,148
Both sides,148
Deyo,147
send a message,147
Elected,147
⚽,146
Possible,145
Players,145
Frontrunners,143
St. Germain,142
Very,142
Euro,141
Super,141
Guangdong,141
Decision,140
Renewal,140
Get,137
Score,137
Success,137
Doha,137
Ballerina,137
Zhan Jun,136
Fan Zhendong,135
Moment,134
Release,132
in which,132
coaching,132
at the same time,132
Stealing,132
Official,131
Future,131
Big Wins,131
All,129
Wuhan Sanzhen,129
Revealed,128
Know,127
End,127
Dream,127
once,126
Final Four,126
Third Place,126
Europe,125
Head Coach,125
LeoMessi10,125
Zhejiang,124
Blessing,124
Leave,124
Japan,122
Reverse,122
Undefeated,122
Help,122
Universe,122
Second Half,121
Problems,121
Scaloni,121
Always,121
Guangzhou,121
Doncic,120
Support,120
Spain,120
Upcoming,119
Bing,119
Passing away,119
Program,119
win,118
Wuhan,118
Wu Dajing,118
Win,117
Korea,117
Men,117
Take,117
Martinez,117
scored,117
Transfer,116
A lot,116
How,116
Shandong Taishan,115
President,115
Stage,114
Foreign aid,114
Tribute,114
National,113
Pre-match,113
First Half,112
Milan,112
Representatives,112
Thanks to,112
Absent,111
For the first time,111
Held,111
Wonderful,111
Open,110
Full Team,110
Regular,110
International,110
Association,109
Able to,109
as,108
half-time,108
Prediction,108
Liaoning,108
Olympics,107
forever,107
Matchup,107
Situation,107
Di Maria,107
FIFA,106
highlights,106
Take,106
F.A. Cup,106
Defenders,104
Comeback,104
United States,104
Contribute,104
Likes,104
Away,103
Tianjin,103
Effort,103
Regular Season,103
Form,103
Midfield,103
Durban,103
New Year,102
Creation,102
Substitute,102
Masters,101
Again,101
Farewell,101
Being,101
Leveling the playing field,100
Badminton,100
Preparation,100
Competition,100
Header,100
Santos,100
Key,100
Appearance,99
Legends,99
Elimination,99
Serie A,98
Beyond,98
Seconds,98
Sina,98
Striker,97
Group photo,97
Penalty,96
Asia,96
Returns,96
Nadal,95
Courts,95
For,95
Regret,95
Best,95
Men's Doubles,95
Needs,95
Subsequently,94
Confirmation,94
Match,94
Su Yiming,94
Appearance,94
Grizzly,93
Challenge,93
Congratulations,93
Shandong,93
Updates,92
All-Star,92
Maradona,92
Han Qiaosheng,92
Unable,91
Preparation,91
FIFA,91
Deschamps,91
Indonesia,90
Retirement,90
Rand,90
soccer,90
sun,90
Injury,89
Open,89
Commentary,89
Year,89
Poole,89
Watch,89
Allen,89
Malone,89
Commentary,88
Effectiveness,88
Max,88
Zinedine Zidane,88
Paulo,88
Enzo,88
Greatest,87
Highest,87
Time,87
Tottenham Hotspur,87
OT,86
Bayern,86
Lockout,85
Love,85
Captain,85
Europa League,85
Second,84
Response,84
Stag,84
Suspension,84
World Series,84
2023LPL,83
Local,83
Up to,83
Guangzhou,83
Yangtze River,83
Suarez,83
Debut,83
But,83
Although,82
Italy,82
brother,82
Third,82
Kane,82
was welcomed,82
Signed,82
Willis,82
Details,82
Sun,81
Make,81
Gilliam,81
Signed,80
Pitch,80
Table Tennis,80
Some,80
Out,80
All,80
Arrival,80
Outstanding,79
new spring,79
Separation,79
Focus,79
Work,79
Direct,79
India,79
League,78
Endgame,78
force,78
Holding,78
Love,78
Harvest,78
Pass,78
Maverick,78
Positive,78
MVP,77
Harbor,77
Alphabet,77
Recovery,77
Mark,77
Spurs,76
Career,76
2024,76
Promising,76
This year,76
Shots,76
Congratulations,75
Fines,75
buildup,75
Penalty,75
Chinese Super League,75
IFFHS,75
YOU,75
Close Calls,75
Fumbles,75
Welcome,75
BANNED ZONE,75
Prohibited Match,75
Action,74
Back to,74
Social,74
Encounters,74
social media,74
Wee,74
This,74
Alvarez,74
Related,73
list,73
Lineup,73
Select,73
All,73
Presidents,73
But,72
Grand Slam,72
Serving as,72
sports,72
Achievements,72
Goal,72
Events,72
Participation,72
Reading,72
Race,71
Challenges,71
Transfer fees,71
Playing,71
2026,71
Attacks,71
Value,71
Brentford,71
Two,70
World Championship,70
new high,70
Period,70
Netherlands,70
Consider,70
Tongxi,70
Ashraf,70
Advantage,69
Leaders,69
May's second goal,69
U20,69
Quote,69
Name,69
Ping Pong,69
Requirement,69
CFA,69
Statistics,69
National Football League,68
Nuggets,68
Selection,68
Russia,68
Ligue 1,68
Star Teams,68
Champions League,68
Yi Jianlian,68
Poland,67
Sports,67
Round,67
Watch,67
Career,67
Defense,67
Only,67
Two Teams,67
Photo,67
Achievement,67
Reach,67
Only,66
Exit,66
Reach,66
Stage,66
Youth,66
Can,66
Each,66
session,66
Spring,65
should,65
England,65
Includes,65
Clippers,65
Kings,65
Listen,65
Xinjiang,65
Back,65
Giroud,65
AC Milan,64
How to win,64
Invitation,64
TRADE,64
stop,64
On,64
a,64
Golden Globe,64
Wizards,64
Breaking,64
Two,64
Kick,64
Break,64
Any,64
Relegation,64
Nichols,63
Controversy,63
Programs,63
watch the game,63
blogging,63
competition,63
Griezmann,63
Parade,63
76ers,62
Madness,62
United,62
Bulls,62
Lead,62
Same,62
Celebrities,62
Jiangsu,62
win,62
Media Reports,62
average,61
Due to,61
performance,61
Officials,61
Counterattacks,61
Birthday,61
Kill,61
Yuan Li,61
Recap,61
Wang Chuqin,61
Wolves,61
Embrace,61
Advance,61
Music Festival,61
Go,60
Martin,60
Candidates,60
Xu Yingbin,60
Past,60
Heroes,59
E-Sports,59
Team China,59
Two,59
Juve,59
Heat,59
Join,59
Kid,59
Belgium,59
women's singles,59
Leaders,59
Ceremony,59
Germany,59
Times,59
Family,59
Zhejiang,59
Trophy,59
Egg,59
Pinnacle,59
Jones,59
VAR,58
Latest,58
First Round,58
Tatum,58
Over,58
Top,58
Mitchell,58
Bringing,58
day one,58
Derby,58
Hour,58
Qualifying,58
Domestic,58
LPL,57
Celtic,57
Way,57
Perfection,57
Fouls,57
Overtime,57
Facing,57
Release,57
Harden,57
Result,57
Zhou Kai,57
Friendly Match,57
Young,57
Naples,57
Grand Prix,57
Strength,57
Teams,57
Believe,57
Other,57
North Controls,57
Share,57
Brighton,56
Training,56
From,56
Rejected,56
Expected,56
Rome,56
Global,56
La Liga,56
Crescent,56
Expulsion,56
Fulfillment,56
Change,55
out of the oven,55
and,55
members,55
have,55
Jazz,55
development,55
The sun is shining on the,55
Royal,55
meet,55
Arrangements,55
tomorrow,55
Achievement,55
Is,55
Glory,55
Witness,55
Conflict,55
Tie,54
Finals,54
Time,54
Reason,54
Ability,54
Skiing,54
Women's,54
here,54
Distance,54
A,54
Fans,54
2018,54
at least,54
Group stage,54
Survey,54
Determine,53
Can't,53
Up,53
Free Kick,53
Shenzhen,53
Lautaro,53
Defending,53
Preliminaries,53
Zeng Fanbo,53
Fujian,53
Legionnaires,53
Golden Boot,53
By virtue of,52
team report,52
Romano,52
Tournament,52
CristianoRonaldo,52
Mixed Doubles,52
Milestone,52
Mudrick,52
Fernandez,52
Behind,52
lead,52
Music,52
Africa,52
Still,51
short track,51
Last year,51
Missed,51
international,51
Raptors,51
times,51
Close,51
Annual Salary,51
Combination,51
Poll,51
Happy,51
Healthy,51
Happy Birthday,51
Relationships,51
Dior,51
Sang Jun Cheng,51
Guangxia,51
Wang Zhelin,51
Single game,50
Item,50
Must,50
Year of the Rabbit,50
Special,50
Rocket,50
Madrid,50
Linkage,50
Penalty,50
Absence,50
Magic Flute,50
