性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数
0,3,0,1,1,#德约科维奇澳网十冠王# 德约科维奇3-0击败西西帕斯，实现10次澳网决赛全部夺冠壮举，同时追平纳达尔大满贯22冠纪录。 ,2023/1/29,16,0,3
1,3,0,1,1,【萨巴伦卡夺得澳网女单冠军】萨巴伦卡2-1逆转莱巴金娜，生涯首夺澳网女单冠军，这也是她首座大满贯冠军奖杯>>腾讯体育 ,2023/1/28,7,0,2
0,3,0,1,1,【德约科维奇3-0保罗 第10次晋级澳网决赛】德约决赛对手是3号种子西西帕斯，他将向澳网十冠王发起冲击！腾讯体育 ,2023/1/27,3,0,0
0,1,0,1,8,【《卫报》2022百大球员排名：梅西居首 C罗第51】姆巴佩屈居第2，金球先生本泽马第3，哈兰德、魔笛紧随其后位居前五。详细排名>>腾讯体育 ,2023/1/27,4,3,1
0,2,0,1,1,NBA十佳球：兰德尔“生吃”塔图姆送暴扣，泡椒极速抢断上演大风车灌篮，欧文1V2超长滞空打成2+1。27日NBA十佳球 乔治风车暴扣兰德尔滑翔炸筐斗志昂扬 ,2023/1/27,5,1,0
0,2,0,1,1,【篮网爆冷负活塞 欧文空砍40+5+6】西蒙斯伤退0分7助攻，篮网“赵四”高效13中11，轰下27+13；东部垫底队结束四连败，全队八人上双。天神下凡！欧文失衡倒地霸气打成2+1 ,2023/1/27,2,0,0
0,2,1,1,8,【詹皇第10次当选全明星票王 独占历史第一】全明星首发公布：詹皇库里领衔西部先发，锡安反超浓眉；字母当选东部票王，恩比德无缘首发。详细名单>> ,2023/1/27,6,0,1
0,1,0,1,1,【利雅得胜利1-3无缘沙超杯决赛，C罗头球造险】2022沙特超级杯半决赛，吉达联合3-1淘汰利雅得胜利，与费哈会师决赛，C罗门前1米头球不进，罗马里尼奥和汉默拉分别建功，塔利斯卡扳回一分。C罗无缘争夺加盟沙特以来首个冠军，代表新东家连续2场打满全场，C罗0球0助还没有开胡。腾讯体育 ,2023/1/27,3,1,0
0,1,0,1,1,【国王杯皇马3-1逆转马竞晋级四强，本泽马加时破门】西班牙国王杯1/4决赛，皇马坐镇伯纳乌球场迎战马竞。上半场莫拉塔破门，门迪因伤被塞巴略斯换下，下半场罗德里戈超级一条龙进球帮助皇马扳平比分。加时赛萨维奇两黄变一红被罚下，本泽马低射破门，加时赛最后时刻维尼修斯进球，最终皇马3-1逆转马竞，晋级四强。腾讯体育,2023/1/27,5,0,1
0,2,0,2,1,【痴迷3后卫+弃用1内线 哈姆赢球仍该骂？】湖人主帅弃用加布里埃尔令美媒不满：有了八村垒足够可以排出两套常规阵容！详细阅读>>腾讯体育 【集锦】马刺104-113湖人 八村垒首秀12+6湖人胜马刺 ,2023/1/26,3,3,0
0,1,0,3,10,【过分！极端马竞球迷羞辱皇马球星】马德里德比赛前，球迷挂反皇马横幅+吊维尼修斯人偶，马竞官方发声明强烈谴责。#皇马vs马竞# 详细阅读>>腾讯体育 ,2023/1/26,4,0,0
0,2,2,1,1,【浓眉复出首战90度崴脚 湖人主帅吓坏了】浓眉赛后透露脚踝伤势，哈姆回应：我差点被吓晕，赶紧去问他感觉怎么样！详细阅读>>腾讯体育 【球星】戴维斯vs马刺集锦 复出替补出战高效21+12两双入账 ,2023/1/26,5,1,0
0,2,0,1,5,【林书豪加盟中国台湾联赛 周杰伦欢迎】两人线上约野球局，周杰伦兴奋回应林书豪：你说的喔！详细阅读>>腾讯体育 ,2023/1/26,21,1,1
0,2,0,1,10,【争议动作！恩比德脏话回应杜兰特吐槽】恩比德击败篮网做出大尺度不雅庆祝动作，巴特勒社媒@NBA 官方：罚他款！详细阅读>>网页链接 【球星】恩比德vs篮网集锦 全场26+10献致命抢断 ,2023/1/26,4,0,1
0,2,2,1,1,【NBA十佳球：篮网赵四钉板血帽恩比德】库明加原地隔扣+普尔绝杀上榜，浓眉复出送凶残封盖，欧文空中换手上篮太潇洒。26日NBA十佳球 戴维斯送排球式血帽 欧文空中换手上篮 ,2023/1/26,8,1,0
0,2,0,1,7,【八村垒湖人首秀 日本转播服务器崩溃】他砍下12分6篮板1助攻，正负值+17全场最高！你给八村垒的首秀打几分？详细阅读>>腾讯体育 【球星】八村垒vs马刺集锦 湖人首秀12+6正负值全场最高 ,2023/1/26,12,1,0
0,2,0,1,5,【库里大度！赛后专门等待并拥抱普尔】普尔决胜时刻糟糕出手惹怒库里，后者摔牙套导致被驱逐，赛后库里主动和解。详细阅读>>腾讯体育 心态炸裂 库里回防时怒扔牙套被判驱逐出场 ,2023/1/26,18,6,0
0,2,1,1,1,【普尔上篮绝杀！勇士双杀灰熊 库里34分遭驱逐】普尔糟糕出手，库里怒摔牙套遭驱逐，最后时刻前者完成救赎，上篮绝杀；灰熊惨遭四连败，莫兰特空砍29+13。心态炸裂 库里回防时怒扔牙套被判驱逐出场 ,2023/1/26,12,2,1
0,2,2,1,1,【詹皇准三双湖人横扫马刺 浓眉复出21+12+4封盖】湖人逆转送马刺三连败，八村垒首秀12分6篮板，正负值+17全场第一，威少15投14分。看视频>>浓眉转身抛射迎射科林斯 威少击地妙传浓眉轻松取分 ,2023/1/26,10,4,2
