性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,1,0,3,10,近期两名国米旧将卷入同一桩丑闻，其一是吧友们熟悉的伊卡尔迪以及他已经分居的妻子旺达，其二是凯塔-巴尔德。记者Guido Záffora称，伊卡尔迪发现了旺达曾经在迪拜的一家酒店与凯塔-巴尔德见面，是凯塔邀请了旺达。记者Jordi Martin的爆料更加丰富，他透露，伊卡尔迪发现此事后，联系了凯塔的妻子Simona并将一切都告诉了她。但Simona不为所动，伊卡尔迪痛骂她是个“被宠坏的绿帽侠”。目前，凯塔的妻子已经表态称消息不实，她表示整件事都是伊卡尔迪、旺达之间的闹剧，她与凯塔只不过是被无辜卷入的人。,2023/1/29,16,5,2,
1,1,0,1,1,为全力备战2023年女足世界杯、杭州亚运会和巴黎奥运会资格赛，根据中国足协女子足球竞训计划安排，中国国家女子足球队将于2023年1月26日在广州组织集训，并于2023年2月10日赴西班牙进行热身赛。在西班牙期间，队伍计划进行四场热身比赛：2月14日 中国女足 vs 西班牙皇家贝蒂斯女足2月16日 中国女足 vs 瑞典女足2月19日 中国女足 vs 西班牙维瓦尔竞技女足2月22日 中国女足 vs 爱尔兰女足新一期集训名单：武汉车谷江大：吴海燕、娄佳惠、古雅沙、王晓雪、姚伟、姚凌薇、刘艳秋江苏：金坤、徐欢、倪梦婕、欧懿垚、邵子钦北京先农坛体校：王珊珊、潘红艳、麦迪乃·沙地克上海农商银行：张馨、朱钰、汪琳琳、方洁、杨倩、闫锦锦山东体彩：张睿、李艳飞长春九银租赁：高晨、高静遥广东梅州客家：陈巧珠路易斯维尔竞技女足：王霜马德里CFF：唐佳丽巴黎圣日耳曼：李梦雯苏黎世草蜢：张琳艳凯尔特人：沈梦雨堪培拉联：吴澄舒阿德莱德联：肖裕仪莱万特拉斯普拉纳斯：杨莉娜#中国女足公布新一期集训名单#,2023/1/20,13,1,2,中国女足公布新一期集训名单
1,1,0,1,1,北京时间1月17日上午，巴黎圣日耳曼官方宣布，中国女足国脚杨莉娜结束租借，返回中国俱乐部上海农商银行女足。巴黎圣日耳曼在官方公告中写道：中国中场球员杨莉娜返回她的中国俱乐部上海农商银行女足。去年夏天杨莉娜租借至巴黎圣日耳曼，为我们出战过法甲女足和欧冠女足比赛！巴黎圣日耳曼感谢杨莉娜，并祝愿她在下半赛季一切顺利！#杨莉娜结束留洋#,2023/1/17,32,4,0,杨莉娜结束留洋
1,1,0,1,7,疑似吕文君妻子吐槽：10年全心全意换来卸磨杀驴，海港没好东西上海海港 ,2023/1/5,306,87,15,
1,1,0,3,7,圣诞礼物！乔治娜赠C罗一辆劳斯莱斯。 PP体育的微博视频 ,2022/12/27,76,13,109,
1,1,0,3,2,贝利女儿在医院发布与父亲的拥抱照片：带着信念战斗下去贝利女儿凯莉·纳西门托（Kely Nascimento）在医院发布了一张与父亲的拥抱照片，并表示：“我们在这里，带着信念奋斗下去，一起再度过这一个夜晚。” ,2022/12/24,51,12,117,
1,13,0,1,1,张伟丽当选MMA Junkie 2022年年度最佳女拳击手#张伟丽获MMA年度最佳女选手# PP体育的微博视频 ,2022/12/22,46,4,5,张伟丽获MMA年度最佳女选手
1,1,0,3,3,C罗女友乔治娜社媒遭刷屏：为何不庆祝祖国阿根廷夺冠 是C罗不让吗？阿根廷击败法国夺得卡塔尔世界杯冠军，不少网友在C罗的阿根廷女友乔治娜社媒刷屏留言，质疑她为何没有庆祝阿根廷夺冠。网友评论：“你的男友不让你庆祝你的国家夺冠是吗？”“我知道你出生在阿根廷，你就不打算发点什么庆祝国家队夺冠吗？还是说，C罗不允许你发这些？”“为什么不庆祝你的祖国阿根廷夺得冠军？是的，西班牙和C罗让你成为明星，但是忘记自己的祖国是可耻的。”,2022/12/20,2035,263,19,
1,1,0,3,2,感人一幕！世界杯决赛，阿根廷点球大战击败法国夺得大力神杯。比赛结束后，梅西母亲小跑进场找到梅西，一把将梅西抱入怀中，激动不已。母子俩紧紧相拥，这一刻梅西不是万人敬仰的球王，而是一个让母亲骄傲的孩子...#阿根廷冠军##梅西最完美的封神之路# PP体育的微博视频 ,2022/12/19,551,44,259,"阿根廷冠军,梅西最完美的封神之路"
1,1,0,3,2,幸福的样子安东内拉亲吻大力神杯 梅西担当摄影师露幸福微笑梅西此刻身旁有奖杯...有爱人...有孩子 #梅西人生赢家##阿根廷冠军# ,2022/12/19,535,17,21,"梅西人生赢家,阿根廷冠军"
1,1,0,3,7,媒体人：有个被捕球员的小三，每个月消费20万，也被叫走问话了据媒体人李平康跟进李铁案相关消息，有个已经被捕球员的小三也被叫走问话。李平康写道：“有个已经进去的球员，在俱乐部所在地养了个小三，每个月消费20万，现在小三也被叫走问话了，这些钱的来历都被一笔一笔的审查！” ,2022/12/13,1126,295,72,
1,1,0,3,3,C罗女友乔治娜发文讽桑托斯：错误的决定！不可以低估世界上最好的球员“今天你的朋友和教练都做出了错误的决定，你对那位朋友充满了钦佩和尊重，当他让你上场时，他看到一切都变了，但为时已晚。你不可以低估世界上最好的球员，最强大的武器。更不用说为那些不值得的人，挺身而出了。生活给了我们上了一课，今天我们没输，而是学到了，我们钦佩你。”,2022/12/11,84,27,3,
,,,,,,,405.9166667,64.33333333,52,
