性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,9,0,1,1,◤中国女排集训名单◥    📯2月1日北仑集结✨   🏐️新老交替剑指巴黎🗼   ┗✦#看女排上咪咕#✦┛ ,1/29/2023,79,19,1,看女排上咪咕
1,6,0,1,1,��#印尼500赛刘圣书张殊贤夺冠##刘圣书豪取33连胜# 🏸️#2023年印尼羽毛球大师赛#，刘圣书@皮-lss @Z_殊贤 22-20、21-19 福岛由纪/广田彩花  恭喜中国队女双新组合首站就夺冠！18岁的刘圣书拿下职业生涯首个世界羽联巡回赛冠军！同时豪取国际赛事33连胜！ ,1/29/2023,33,2,2,"印尼500赛刘圣书张殊贤夺冠,刘圣书豪取33连胜,2023年印尼羽毛球大师赛"
1,7,0,1,1,#日本乒乓球全锦赛#女单决赛：早田希娜4-2战胜木原美悠，成为三冠王男单决赛：张本智和vs户上隼辅 女双决赛：伊藤美诚/早田希娜3-0成本绫海/井绚乃男双决赛：张本智和/森园政崇3-1及川瑞基/松岛辉空#早田希娜成三冠王# ,1/29/2023,19,0,1,"日本乒乓球全锦赛,早田希娜成三冠王"
1,14,0,3,2,#朱孝天身体疼韩雯雯心疼哭了# @朱孝天 和@韩雯雯 的读信环节也太好哭了吧~韩雯雯坦言想帮朱孝天共同承担病情的痛苦，而朱孝天不舍得，只想韩雯雯能够健康，狠狠地被二人给感动到了#好身材童年游戏回忆杀##哎呀好身材# ,1/29/2023,2,1,0,"朱孝天身体疼韩雯雯心疼哭了,好身材童年游戏回忆杀,哎呀好身材"
1,14,0,3,6,#叶一茜套圈套中一个田亮##好身材童年游戏回忆杀# 在本期套圈游戏中@叶一茜 正要开始时，众人突然起哄套“老板”@田亮 ，亮哥开启“移动模式”只为哄茜姐高兴，不止套圈，亮哥的这辈子也一起茜姐被套牢了～有被嗑到，双向奔赴的爱情可真令人着迷啊！#哎呀好身材# ,1/29/2023,5,1,1,"叶一茜套圈套中一个田亮,好身材童年游戏回忆杀,哎呀好身材"
1,7,0,1,6,#王艺迪写福字# 兔年大吉，幸福到你家🎁🎉今日送福嘉宾来咯！王艺迪@迪214 为大家送福啦！#体坛花式贺新春##看WTT上咪咕# WTT世界乒联的微博视频 ,1/29/2023,24,0,2,"王艺迪写福字,体坛花式贺新春,看WTT上咪咕"
1,11,0,1,1,#蔡雪桐八届XGAMES收获1银3铜#X-games结束单板滑雪女子U型池争夺，中国选手蔡雪桐@x桐c  新赛季首秀获得铜牌这是蔡雪桐的第八次X-games之旅，共斩获1银3铜#蔡雪桐U型池夺铜# 体育叨叨酱的微博视频 ,1/29/2023,100,8,4,"蔡雪桐八届XGAMES收获1银3铜,蔡雪桐U型池夺铜"
1,3,0,1,1,��#萨巴伦卡夺澳网冠军##萨巴伦卡首夺大满贯冠军# 🎾#澳网2023# 女单决赛，5号种子萨巴伦卡4-6/6-3/6-4逆转22号种子莱巴金娜，豪取11连胜夺得职业生涯首座大满贯女单冠军。 ,1/28/2023,91,10,11,"萨巴伦卡夺澳网冠军,萨巴伦卡首夺大满贯冠军,澳网2023"
1,13,0,1,1,��#2023中国女排集训名单#🎙️中国排协刚刚发布《关于组织国家女排2023年集训的通知》，李盈莹、袁心玥、龚翔宇领衔，丁霞入选。在海外联赛效力的朱婷和姚迪暂未入选。🔎中国女排2023年集训名单：王云蕗@Abyss10_王 、李盈莹@能量小瑩瑩 、袁心玥@袁心玥玥玥 、王媛媛@yoyo_王媛媛 、许嘉楠@嘉易溯源 、段 放@段放Lucky 、丁霞@请叫我丁小霞 、高 意@高小意o 、仲慧@仲慧_Jerry 、许晓婷@Tweety_10 、龚翔宇@龚翔宇宇宇宇bigbang 、刁琳宇@刁琳宇_6 倪非凡@Yugyeomy_ 吴梦洁@吴小梦洁 曾洁雅@曾洁雅曾 陈曦悦@曦悦鸭 郑益昕@肥肥很蜡笔 杨涵玉@杨涵玉Y1012 王梦洁@闪闪一袋糖 杜清清@闪闪一袋詹小七 段梦可（河南）、王逸凡@凡逸王 缪伊雯@M-even12,1/28/2023,20,5,1,2023中国女排集训名单
1,1,0,3,2,#梅西夫妇出席慈善晚宴# 1月27日，巴黎圣日耳曼后卫金彭贝举行慈善晚宴，梅西携妻子安东内拉出席了宴会。安东内拉也晒出了自己和梅西在晚宴中拍摄的合影。#看足球上咪咕# ,1/28/2023,38,5,3,"梅西夫妇出席慈善晚宴,看足球上咪咕"
