性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,1,0,3,3,#阿尔瓦雷斯秀恩爱被德保罗抢戏# 阿根廷前锋阿尔瓦雷斯晒出与女友在埃菲尔铁塔下的合影：“世界上最美丽的奇迹之一，我们在埃菲尔铁塔下。”随后德保罗回复道：“看到你这么浪漫，我就想跑去拥抱你。” ,2023/1/29,25,2,1,阿尔瓦雷斯秀恩爱被德保罗抢戏
1,3,0,3,2,#周杰伦昆凌现场观战澳网男单决赛##澳网2023# 男单决赛正在进行，德约科维奇首盘6-3拿下。看台上名流云集，周杰伦、昆凌、比尔盖茨、罗德拉沃尔等都在观战。 ,2023/1/29,51,23,14,"周杰伦昆凌现场观战澳网男单决赛,澳网2023"
1,1,0,1,1,#深足距截止日2天仍未解决欠薪# 记者程文莉表示，中国足协之前规定1月31日是各俱乐部提交清还欠薪凭证的截止日，如果这一日期不推迟的话，留给深圳俱乐部处理历史欠薪的时间就只剩下两天。可是到目前为止，看不到俱乐部解决问题的迹象，能否通过新赛季准入是个未知数。 ,2023/1/29,14,3,1,深足距截止日2天仍未解决欠薪
1,7,0,1,1,#早田希娜成三冠王##日本乒乓球全锦赛#女单决赛，早田希娜4-2木原美悠。早田希娜此前和张本智和搭档获得混双冠军(两连冠)，和伊藤美诚搭档获得女双冠军(五连冠)。 新浪乒乓球的微博视频 ,2023/1/29,16,2,0,"早田希娜成三冠王,日本乒乓球全锦赛"
1,1,0,3,2,#夏奇拉不让儿子叫皮克父母爷爷奶奶#据西班牙八卦杂志Lecturas爆料，夏奇拉与皮克分手后，与其家人的关系也变得糟糕起来。皮克的母亲在夏奇拉来到巴塞罗那后一直很照顾她，帮助这位前儿媳融入新家庭。不过，随着夏奇拉与皮克感情破裂，婆媳关系也彻底崩溃。Lecturas称夏奇拉要求孩子们（米兰、萨沙）不再称呼皮克父母为爷爷奶奶。,2023/1/29,23,6,1,夏奇拉不让儿子叫皮克父母爷爷奶奶
1,6,0,1,1,#印尼500赛刘圣书张殊贤夺冠##刘圣书豪取33连胜##2023年印尼羽毛球大师赛# 女双决赛刘圣书@皮-lss /@Z_殊贤 22-20 21-19 福岛由纪/广田彩花  ，“圣贤”组合首夺500赛冠军，刘圣书自去年世青赛以来，已经豪取33连胜，未尝败绩。 ,2023/1/29,38,1,3,"印尼500赛刘圣书张殊贤夺冠,刘圣书豪取33连胜,2023年印尼羽毛球大师赛"
1,2,0,1,1,#WCBA全明星单项赛名单#2022-2023赛季WCBA全明星周末将于2月4-5日在深圳龙华区文体中心举行，@WCBA联赛 公布了技巧赛与三分大赛的名单。具体如下：三分大赛：黄思静（内蒙古农信）、董可尔（浙江稠州银行）、于东（东莞新彤盛）、赖婷艺（福建恒安集团）、丁奕可（武汉盛帆）技巧大赛：王思雨（四川远达美乐）、张懿（山西竹叶青酒）、郑茗（北京首钢）、邓睿洁（河北衡水湖）、杜可心（陕西天泽）,2023/1/29,5,1,0,WCBA全明星单项赛名单
1,9,0,1,8,#蔡斌解读女排集训名单#中国女排主帅蔡斌一一解读集训大名单：丁霞是能够起到压阵作用的老将，许晓婷参加集训是为了进一步考察；主攻位置需要拥有经验和能力的中生代选手充实进来；·排超联赛涌现出诸多年轻选手，希望通过国家队冬训，提高基本功和动作规范性，打造女排未来的可用之才。新一届中国女排将于2月1日在宁波北仑集结展开冬训，主教练蔡斌表示，希望通过冬训不断夯实基础、提升自身能力，完成好杭州亚运会和巴黎奥运会预选赛等重要比赛任务#中国女排即将开启冬训#,2023/1/29,26,13,2,"蔡斌解读女排集训名单,中国女排即将开启冬训"
1,11,1,1,4,#谷爱凌说几周后会回归赛场##谷爱凌拄拐观战XGAMES#受伤退出X-games的@青蛙公主爱凌 拄拐来到现场观战，在接受采访时表示：“虽然很遗憾受伤退出比赛，但几周后我会回来的。”体育叨叨酱的微博视频 ,2023/1/29,135,13,2,"谷爱凌说几周后会回归赛场,谷爱凌拄拐观战XGAMES"
1,11,0,1,1,#蔡雪桐八届XGAMES收获1银3铜#今晨结束的2023年X-games单板滑雪女子U型池比赛中，中国选手蔡雪桐@x桐c 新赛季首秀获得铜牌。这是蔡雪桐的第八次X-games之旅，共斩获1银3铜#蔡雪桐U型池夺铜# 体育叨叨酱的微博视频 ,2023/1/29,57,11,6,"蔡雪桐八届XGAMES收获1银3铜,蔡雪桐U型池夺铜"
1,1,0,3,2,#C罗为乔治娜庆生# 去年乔治娜生日，C罗为乔治娜包下的哈利法塔外屏庆生，价格为3分钟5万镑。今年乔治娜迎来29岁生日，C罗为其预定了利雅得当地著名餐厅包厢并精心布置了生日宴会现场 咪咕足球的微博视频 ,2023/1/28,42,6,5,C罗为乔治娜庆生
1,3,1,1,1,#萨巴伦卡首夺大满贯冠军# 连续九个赛季都有球员首夺大满贯女单冠军2014年李娜、莎娃、科娃、小威2015美网佩内塔2016澳网科贝尔、法网穆古鲁扎2017法网奥斯塔彭科、美网斯蒂芬斯2018澳网沃兹尼亚奇、法网哈勒普、美网大坂直美2019法网巴蒂、美网安德莱斯库2020澳网肯宁、法网斯维亚泰克2021法网克雷茨科娃、美网拉杜卡努2022温网莱巴金娜2023澳网萨巴伦卡,2023/1/28,46,19,4,萨巴伦卡首夺大满贯冠军
