性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数
1,3,0,1,1,【萨巴伦卡夺得澳网女单冠军】萨巴伦卡2-1逆转莱巴金娜，生涯首夺澳网女单冠军，这也是她首座大满贯冠军奖杯>>腾讯体育 ,2023/1/28,7,0,2
1,2,0,1,4,#中国女篮登上央视春晚#  中国女篮亮相央视春晚：中国人永远有重回巅峰的信心和能力！中国女篮亮相央视春晚：中国人永远有重回巅峰的信心和能力！ ,2023/1/22,13,1,2
1,3,0,1,1,【郑钦文连丢7局崩盘 止步澳网女单次轮】郑钦文首盘4-1领先情况下连丢7局被逆转，最终0-2不敌美国选手佩拉，连续2年止步澳网第二轮。腾讯体育 ,2023/1/18,0,1,0
1,3,0,1,1,【张帅2-1晋级澳网次轮】张帅2-1击败罗马尼亚选手提格，连续2年晋级澳网女单次轮，三盘比分为6-1、4-6、6-0。腾讯体育 ,2023/1/18,5,1,0
1,3,1,1,1,【中国金花朱琳首进大满贯32强】澳网女单第二轮，朱琳2-0击败32号种子泰希曼，成功闯进32强，创造个人大满贯最佳战绩>>腾讯体育 ,2023/1/18,5,0,0
1,2,2,3,7,【场边金发美女微笑+点头示意 老詹反应亮了】詹姆斯被她成功吸引注意力，结果没憋住笑，这一切都被镜头拍到。詹姆斯在偷乐！场边美女球迷深情凝视，老詹这得回家跪搓衣板 ,2023/1/18,7,1,1
1,2,0,1,2,【女篮传奇巨星玛雅-摩尔宣布退役】她是四届WNBA总冠军得主，还曾率领山西女篮夺取WCBA三连冠，被誉为篮坛“不败女王”！腾讯体育 ,2023/1/16,10,2,2
1,2,0,3,10,【CBA女球迷还原看台冲突：被保安掐脖子】曾凡博宠粉赠球鞋却被保安抢走，球迷自称眼镜被打到地上+遭恐吓，当晚已报警。#CBA赛区保安与曾凡博球迷抢鞋# 详细阅读>>腾讯体育 ,2023/1/5,29,12,2
1,2,0,3,7,【小女孩举标语“KD是GOAT” 杜兰特微笑点头】小女孩标语写着“KD是我心中的GOAT，对不起乔丹”，杜兰特会心一笑点头回应，小女孩乐开了花。小女球迷举牌：杜兰特是我心中的GOAT 阿杜会心一笑点头回应 ,2023/1/1,18,3,0
1,1,0,3,2,#乔治娜圣诞礼物送C罗劳斯莱斯# C罗全家过节视频来啦！乔治娜一袭红裙出镜，引领C罗和孩子们打开一件件圣诞礼物>>如何不经意间让我女友看到 C罗社媒晒乔治娜送圣诞礼物：劳斯莱斯 ,2022/12/26,16,5,0
1,2,0,3,7,【前NBA球员谈“卡戴珊魔咒”：那的确毁了我】拉沙德-麦坎茨谈昔日与卡戴珊恋情：那的确毁了我的合同，我连续16场被弃用，教练总觉得我没休息够。腾讯体育 ,2022/12/25,4,2,0
1,14,0,3,6,#赖美云solo全开麦# @赖美云 不愧是天生爱豆，这业务能力是真的强呀～人美歌甜，全开麦solo也不在话下，快点开视频一起听小赖老师唱歌吧！#前进吧现代足球少年# 腾讯体育的微博视频 ,2022/12/17,3,1,1
1,14,0,3,6,#赖美云踢球把鞋踢飞# @赖美云 踢球也太认真了吧，虽然代价是把鞋给踢飞了，还被偷袭射门😂下次比赛小七可要记得把鞋带系牢啦！ 腾讯体育的微博视频 ,2022/12/15,105,23,19
1,1,0,3,3,#C罗女友发文指责葡萄牙主教练# #C罗# 【亲友团火力全开！C罗女友和姐姐接连开炮】C罗女友乔治娜在社交网络批评了老帅桑托斯，表示C罗不应该“为那些不值得的人挺身而出”。C罗的姐姐Elma Aveiro在ins发文批评国家队：“我们输掉了世界杯，一些低级别球队的老鼠，把赢瑞士当成对C罗的胜利......”腾讯体育,2022/12/11,19294,2024,151
,,,,,,,1394,148.2857143,12.85714286
