性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,10,据西班牙媒体报道，入狱的阿尔维斯收到了1张100欧元的卡，以便能在监狱的小商店买东西。但阿尔维斯并没有花太多，他只花了17.33欧，以50美分的价格买了六种酸奶，以88美分的价格买了四罐金枪鱼，买了一瓶洗发水，还买了除臭剂和四瓶能量饮料。西媒节目中称，阿尔维斯所在牢区有囚犯的亲属不满阿尔维斯受到了探视方面的优待，通常探视是在周日下午进行。尽管最近有人猜测阿尔维斯母亲将前往监狱看阿尔维斯，但目前探视还未发生。,2023/1/29,114,23,8,
0,1,0,1,8,英媒列英超最被低估球员：三笘薰上榜1、所罗门-马奇（布莱顿）2、丹-伯恩（纽卡斯尔）3、迈克尔-奥利斯（水晶宫）4、道格拉斯-路易斯（维拉）5、三笘薰（布莱顿）6、伊森-平诺克（布伦特福德）7、格诺托（利兹联）8、姆贝莫（布伦特福德）9、布埃诺（狼队）10、蒂姆-里姆（富勒姆） ,2023/1/29,13,5,4,
0,1,0,1,1,2023赛季巴西超级杯决赛中，帕尔梅拉斯队以4比3战胜弗拉门戈队，夺得冠军，16岁恩德里克首发出战，赛后举起奖杯庆祝夺冠。 PP体育的微博视频 ,2023/1/29,18,2,7,
0,1,0,1,1,意甲-国米2-1逆转克雷莫纳 劳塔罗双响 PP体育的微博视频 ,2023/1/29,22,2,3,
0,1,0,1,1,西甲-巴萨1-0赫罗纳6分领跑 佩德里建功 PP体育的微博视频 ,2023/1/29,7,1,2,
0,1,0,1,1,足总杯-曼联3-1雷丁晋级16强 卡塞米罗双响弗雷德传射建功 PP体育的微博视频 ,2023/1/29,14,3,0,
0,1,0,1,1,足总杯-热刺客场3-0普雷斯顿晋级 孙兴慜双响丹朱马首秀破门#热刺客场3-0普雷斯顿# PP体育的微博视频 ,2023/1/29,9,1,1,热刺客场3-0普雷斯顿
0,1,0,1,4,为了庆祝春节，在曼城对狼队的英超比赛中，狼队的球员赛前穿上了印有球员中文名字的特别拜年外套，仅黄喜灿穿韩文球衣 PP体育的微博视频 ,2023/1/28,96,30,13,
0,1,0,2,1,马斯切拉诺：不会继续担任阿根廷U20主帅阿根廷U20在南美青年锦标赛中小组出局，主帅马斯切拉诺赛后表示自己将离职。阿根廷U20在南青赛A组中以1胜3负的战绩仅积3分，排在小组第4位无缘出线。赛后马斯切拉诺接受采访时说道：“感谢足协主席给我这个机会，也感谢俱乐部给了我们帮助。没有任何借口，我必须负责，我不认为我会继续担任U20国家队的主帅。”#南美锦标赛阿根廷U20小组出局##阿根廷队无缘U20世界杯#,2023/1/28,18,7,25,"南美锦标赛阿根廷U20小组出局,阿根廷队无缘U20世界杯"
0,1,0,2,1,FIFA官方：吉梅内斯、穆斯莱拉停赛4场，卡瓦尼、戈丁停赛1场国际足联今日公布对于乌拉圭球员在世界杯比赛期间及赛后事件的处罚。国际足联纪律委员会认定乌拉圭足协需对及其支持者的歧视行为，以及球队成员不当、攻击、违反公平竞赛原则的行为负责。国际足联对吉梅内斯、穆斯莱拉、戈丁、卡瓦尼开出罚单，同时对乌拉圭足协开出罚单，本次处罚罚款共12万瑞士法郎。国际足联具体处罚如下：乌拉圭足协：在下一场国际足联A级赛事作为东道主关闭部分看台，并处50000瑞士法郎罚款。吉梅内斯：停赛4场，处20000瑞士法郎罚款穆斯莱拉：停赛4场，处20000瑞士法郎罚款卡瓦尼：停赛1场，处15000法郎罚款戈丁：停赛1场，处15000法郎罚款同时4人还均需要进行社区足球服务。,2023/1/28,26,8,8,
