性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,⚽️#布莱顿2比1利物浦##三笘薰绝杀#足总杯第4轮，布莱顿2-1战胜利物浦。上半场萨拉赫助攻艾利奥特破门，随后邓克折射破门扳平比分。下半场伤停补时三笘薰送出绝杀！#看足球上咪咕# 咪咕体育的微博视频 ,1/29/2023,34,2,3,"布莱顿2比1利物浦,三笘薰绝杀,看足球上咪咕"
0,12,0,1,1,2023LPL春季赛1月30日首发名单#LGD对战OMG##RA对战NIP#17:00 LGD vs OMG19:00 RA vs NIP解说：@解说MacT @dou豆腐大大 @胸肌很大的良小伞 @解说雨童 @鼓鼓· 主持：@骆歆同学 @周宸宇啊#看LPL上咪咕#@LGD_英雄联盟 @OMG电子竞技俱乐部 @RA电竞俱乐部 @NIP电子竞技俱乐部 ,1/29/2023,4,0,0,"LGD对战OMG,RA对战NIP,看LPL上咪咕"
0,1,0,1,1,��#什克确认签约巴黎# 🎙️国米后卫什克里尼亚尔在接受采访时确认自己将加盟巴黎：是的，那是真的，我已经和巴黎签约了，我还在等待俱乐部达成协议🎙️什克将在6月份以自由球员的身份加盟巴黎，不过巴黎希望1月就能完成转会。#看足球上咪咕# ,1/29/2023,11,4,2,"什克确认签约巴黎,看足球上咪咕"
0,9,1,1,1,加油小太阳#张景胤将出国征战波兰联赛# 🏐️根据浙江体坛报今晚发布的信息显示，在排超联赛中旧伤复发的中国男排主攻张景胤经过调养已经完全恢复，将在年后前往波兰，参加当地的排球联赛。#中国男排# ,1/29/2023,129,14,18,"张景胤将出国征战波兰联赛,中国男排"
0,1,0,1,1,#AC米兰1月丢了18球# 进入新年以来，AC米兰在1月的7场比赛中只获得1场胜利，其余6场比赛2平4负，这7场比赛无一零封，总共丢了18球！#AC米兰2比5萨索洛##看足球上咪咕# ,1/29/2023,4,1,0,"AC米兰1月丢了18球,AC米兰2比5萨索洛,看足球上咪咕"
0,1,0,1,1,⚽️#AC米兰2比5萨索洛##AC米兰连续6场不胜# 🎙️意甲第20轮，AC米兰2-5不敌萨索洛，各项赛事连续6场比赛无法获胜。#看足球上咪咕# ,1/29/2023,10,7,1,"AC米兰2比5萨索洛,AC米兰连续6场不胜,看足球上咪咕"
0,2,0,1,1,��#詹姆斯38岁后40分场次追平乔丹# 🎙️今天湖人121-125客场加时不敌凯尔特人。詹姆斯30投15中得到41分9篮板8助攻。🔎据统计，这是詹姆斯在年满38岁后第5次单场得到40分，他追平了迈克尔-乔丹，并列38岁以上球员40+得分场次历史第一。詹姆斯目前的年龄仅仅为38岁28天。#看NBA上咪咕# 咪咕篮球的微博视频,1/29/2023,9,1,0,"詹姆斯38岁后40分场次追平乔丹,看NBA上咪咕"
0,1,0,1,1,#登贝莱伤停5周# 贝莱在巴萨本轮与赫罗纳的比赛中受伤，《每日体育报》表示球员将会缺席5周。据悉登贝莱左腿股直肌处撕裂，此前预估的是缺席3周，目前看来将会缺席约5周的时间。#看足球上咪咕# ,1/29/2023,7,1,0,"登贝莱伤停5周,看足球上咪咕"
0,3,0,1,4,��#德约说这是人生中最伟大的胜利#德约科维奇赛后：这是我一生中参加过的最具挑战性的比赛之一，这是一段漫长的旅程，这可能是我人生中最伟大的胜利。#德约科维奇澳网十冠王##德约科维奇重大冠军数升至66个# 咪咕体育的微博视频 ,1/29/2023,138,7,15,"德约说这是人生中最伟大的胜利,德约科维奇澳网十冠王,德约科维奇重大冠军数升至66个"
0,3,0,1,1,#德约科维奇与纳达尔并列历史第一#🎙️2023澳大利亚网球公开赛男单决赛，塞尔维亚天王德约科维奇3-0击败希腊选手西西帕斯，赢得个人第22座大满贯男单冠军，追平纳达尔，并列历史第一。#德约科维奇澳网十冠王##德约科维奇重大冠军数升至66个# 咪咕体育的微博视频 ,1/29/2023,40,1,4,"德约科维奇与纳达尔并列历史第一,德约科维奇澳网十冠王,德约科维奇重大冠军数升至66个"
