性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,#尤文图斯0比2蒙扎# 丘里亚、达尼-莫塔两度击穿尤文防线，尤文主场0比2不敌蒙扎，惨遭升班马双杀 #蒙扎双杀尤文# ,2023/1/29,35,13,12,"尤文图斯0比2蒙扎,蒙扎双杀尤文"
0,1,0,1,1,#布莱顿2比1利物浦##三笘薰绝杀# 足总杯第4轮，布莱顿2-1绝杀利物浦。上半场萨拉赫助攻艾利奥特破门，随后邓克折射破门扳平比分。下半场伤停补时三笘薰送出绝杀！ ,2023/1/29,229,37,26,"布莱顿2比1利物浦,三笘薰绝杀"
0,3,0,1,1,#德约发博庆祝大满贯第22冠# @Nole德约科维奇 更新微博，他发布照片庆祝自己的第22个大满贯冠军！#德约科维奇夺大满贯第22冠# ,2023/1/29,99,5,15,"德约发博庆祝大满贯第22冠,德约科维奇夺大满贯第22冠"
0,1,0,1,1,#AC米兰1月丢了18球# 进入新年以来，AC米兰在1月的7场比赛中只获得1场胜利，其余6场比赛2平4负，这7场比赛无一零封，总共丢了18球 #AC米兰2比5萨索洛# ,2023/1/29,10,12,4,"AC米兰1月丢了18球,AC米兰2比5萨索洛"
0,9,0,1,1,#张景胤将出国征战波兰联赛# 根据浙江体坛报今晚发布的信息显示，在排超联赛中旧伤复发的中国男排主攻@张景胤z 经过调养已经完全恢复，将在年后前往波兰，参加当地的排球联赛。#中国男排# via：@荆棘鸟volley ,2023/1/29,34,2,3,"张景胤将出国征战波兰联赛,中国男排"
0,1,0,1,1,#什克确认签约巴黎# 国米后卫什克里尼亚尔在接受采访时确认自己将加盟巴黎：是的，那是真的，我已经和巴黎签约了，我还在等待俱乐部达成协议什克将在6月份以自由球员的身份加盟巴黎，不过巴黎希望1月就能完成转会 ,2023/1/29,17,13,4,什克确认签约巴黎
0,1,0,1,10,#阿尔维斯在狱中参加足球比赛# 西班牙《先锋报》透露，阿尔维斯在周四和狱友进行了一场足球赛。在比赛消息传开后，一些官员、监狱的管理人员和临近关押区域的囚犯都隔着玻璃墙，观看阿尔维斯参加足球比赛。 ,2023/1/29,30,16,3,阿尔维斯在狱中参加足球比赛
0,1,0,1,1,#AC米兰2比5萨索洛# 意甲第20轮，AC米兰主场2-5不敌萨索洛，各项赛事连续6场比赛无法获胜，贝拉尔迪1球3助攻 #AC米兰连续6场不胜# ,2023/1/29,15,10,6,"AC米兰2比5萨索洛,AC米兰连续6场不胜"
0,1,0,1,1,#AC米兰vs萨索洛# 目前AC米兰已经1-4落后萨索洛，据统计，这是AC米兰历史上第一次连续两场意甲联赛都丢4球 #意甲联赛# ,2023/1/29,27,15,4,"AC米兰vs萨索洛,意甲联赛"
0,1,0,2,1,#各联赛主裁将向球迷公开VAR判罚# 根据记者James Sharpe的报道，各联赛的当值主裁将于本周首次向球场观众宣布VAR介入后的判罚，官方希望此举是公开裁判判罚过程的第一步。不过裁判与VAR之间的沟通仍然被设立相关法规的管理机构IFAB禁止向公众公开。 ,2023/1/29,9,3,2,各联赛主裁将向球迷公开VAR判罚
